2021-06-23 00:22:30.577 DEBUG wellness-api-9f78984cb-7tp4k --- [io-8081-exec-25] c.a.a.w.w.c.JwtAuthenticationFilter      : security context was null, so authorizating user
2021-06-23 00:22:30.612 DEBUG wellness-api-9f78984cb-7tp4k --- [io-8081-exec-47] c.a.a.w.w.c.JwtAuthenticationFilter      : security context was null, so authorizating user
2021-06-23 00:22:30.622 DEBUG wellness-api-9f78984cb-7tp4k --- [io-8081-exec-30] c.a.a.w.w.c.JwtAuthenticationFilter      : security context was null, so authorizating user
2021-06-23 00:22:30.628 DEBUG wellness-api-9f78984cb-7tp4k --- [nio-8081-exec-2] c.a.a.w.w.c.JwtAuthenticationFilter      : security context was null, so authorizating user
2021-06-23 00:22:30.630 DEBUG wellness-api-9f78984cb-7tp4k --- [io-8081-exec-29] c.a.a.w.w.c.JwtAuthenticationFilter      : security context was null, so authorizating user
2021-06-23 00:22:30.630 DEBUG wellness-api-9f78984cb-7tp4k --- [io-8081-exec-33] c.a.a.w.w.c.JwtAuthenticationFilter      : security context was null, so authorizating user
2021-06-23 00:22:31.257  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-18 16:10:01.26, createdUserId=180, updatedDate=null, updatedUserId=0, version=0, isDelete=false)
2021-06-23 00:22:31.267  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-18 16:10:01.354, createdUserId=180, updatedDate=null, updatedUserId=0, version=0, isDelete=false)
2021-06-23 00:22:31.280  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-18 16:10:01.46, createdUserId=180, updatedDate=null, updatedUserId=0, version=0, isDelete=false)
2021-06-23 00:22:31.290  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-18 16:10:01.625, createdUserId=180, updatedDate=null, updatedUserId=0, version=0, isDelete=false)
2021-06-23 00:22:31.299  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-18 16:10:01.737, createdUserId=180, updatedDate=null, updatedUserId=0, version=0, isDelete=false)
2021-06-23 00:22:31.309  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-18 16:10:01.837, createdUserId=180, updatedDate=null, updatedUserId=0, version=0, isDelete=false)
2021-06-23 00:22:31.322  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-17 08:16:05.156, createdUserId=180, updatedDate=2021-06-17 22:06:43.463, updatedUserId=180, version=33, isDelete=false)
2021-06-23 00:22:31.331  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-18 09:00:10.514, createdUserId=180, updatedDate=2021-06-18 21:38:34.429, updatedUserId=180, version=30, isDelete=false)
2021-06-23 00:22:31.341  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-19 10:49:54.917, createdUserId=180, updatedDate=2021-06-20 00:28:29.679, updatedUserId=180, version=18, isDelete=false)
2021-06-23 00:22:31.350  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-20 00:38:17.738, createdUserId=180, updatedDate=2021-06-20 23:08:31.125, updatedUserId=180, version=17, isDelete=false)
2021-06-23 00:22:31.362  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-21 10:16:02.783, createdUserId=180, updatedDate=2021-06-22 07:25:15.983, updatedUserId=180, version=12, isDelete=false)
2021-06-23 00:22:31.376  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-22 08:33:12.177, createdUserId=180, updatedDate=2021-06-22 21:12:25.293, updatedUserId=180, version=12, isDelete=false)
2021-06-23 00:22:31.409  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : null
2021-06-23 00:22:34.018 DEBUG wellness-api-9f78984cb-7tp4k --- [io-8081-exec-27] c.a.a.w.w.c.JwtAuthenticationFilter      : security context was null, so authorizating user
2021-06-23 00:22:34.136  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-27] c.a.a.w.w.s.i.MemberService              : SUB : 09445113632
2021-06-23 00:22:34.173  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-27] c.a.a.w.w.c.MemberChallengeController    : MemberID:::AbstractVersionTrack(createdDate=2021-06-15 11:36:32.714, createdUserId=0, updatedDate=2021-06-23 00:22:31.42, updatedUserId=180, version=224, isDelete=false)
2021-06-23 00:22:34.174  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-27] c.a.a.w.w.u.CommonUtil                   : API:::::api.memberChallenge.myChallenge
2021-06-23 00:22:34.174  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-27] c.a.a.w.w.u.CommonUtil                   : Controller:::::MemberChallengeController
2021-06-23 00:22:34.174  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-27] c.a.a.w.w.u.CommonUtil                   : Date:::::Wed Jun 23 00:22:34 MMT 2021
2021-06-23 00:22:34.174  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-27] c.a.a.w.w.u.CommonUtil                   : Request JsonData:::::
2021-06-23 00:22:34.180  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-27] c.a.a.w.w.u.CommonUtil                   : Date:::::Wed Jun 23 00:22:34 MMT 2021
2021-06-23 00:22:34.180  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-27] c.a.a.w.w.u.CommonUtil                   : Response JsonData:::::null
2021-06-23 00:22:34.349 DEBUG wellness-api-9f78984cb-7tp4k --- [io-8081-exec-25] c.a.a.w.w.c.JwtAuthenticationFilter      : security context was null, so authorizating user
2021-06-23 00:22:34.460  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-25] c.a.a.w.w.s.i.MemberService              : SUB : 09445113632
2021-06-23 00:22:34.500  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-25] c.a.a.w.w.c.MemberChallengeController    : MemberID:::AbstractVersionTrack(createdDate=2021-06-15 11:36:32.714, createdUserId=0, updatedDate=2021-06-23 00:22:31.42, updatedUserId=180, version=224, isDelete=false)
2021-06-23 00:22:34.500  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-25] c.a.a.w.w.u.CommonUtil                   : API:::::api.memberChallenge.myChallenge
2021-06-23 00:22:34.500  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-25] c.a.a.w.w.u.CommonUtil                   : Controller:::::MemberChallengeController
